source sentence, target sentence
je ressens beaucoup d hostilit. , i m sensing a lot of hostility.
je vais cuisiner pour vous. , i m going to cook for you.
elle est l diteur en chef. , she is the executive editor.
vous tes allemands n est ce pas? , you re germans aren t you?
tu es fort dr le. , you re very funny.
il est encore au travail. , he s still at work.
il est plus vieux mais pas plus sage. , he s older but no wiser.
c est un lectron libre. , he s a loose cannon.
vous n tes pas laid. , you aren t ugly.
elle n est pas toujours heureuse. , she is not always happy.
elle lui a montr la photo. , she showed him the photo.
il est plus intelligent qu eux. , he s brighter than they are.
je ne suis simplement pas tr s occup. , i m just not very busy.
j ai du pot. , i m lucky.
il me poursuit. , he s after me.
j ai encore faim. , i m still hungry.
je cherche un bon h tel. , i am looking for a good hotel.
c est un bon joueur de tennis. , he is a good tennis player.
je suis toujours ton amie. , i m still your friend.
c est un grand l che. , he s a big coward.
j en suis vraiment fier. , i m really proud of it.
je suis l un d entre vous. , i m one of you.
il est impatient de s y rendre. , he is eager to go there.
je suis sobre. , i m sober.
je suis un peu mal l aise. , i m kind of uncomfortable.
c est un baratineur. , he s a smooth talker.
je suis fatigu e de danser. , i m tired of dancing.
tu n es pas tr s amusant. , you re not very funny.
elle est inconsciente. , she is unconscious.
tu es incroyablement na f. , you are unbelievably naive.
vous restez avec tom n est ce pas? , you re staying with tom right?
vous tes la plus vieille. , you re the oldest.
je mange. , i m eating.
tu es le meilleur pour ce travail. , you re the best man for the job.
il est parfait en tout. , he s perfect at everything.
j attends un appel. , i m expecting a call.
je ne suis pas assez bon pour toi. , i m not good enough for you.
tu es imprudente. , you re foolish.
je suis plus petit que vous. , i m shorter than you.
vous tes un bon gar on. , you are a good boy.
il parle anglais. , he is speaking english.
je suis le capitaine. , i m the captain.
c est un expert la fronde. , he s an expert with a slingshot.
je ne fais que mon travail. , i m just doing my job.
je suis d accord d accepter votre offre. , i m willing to accept your offer.
je vois quelqu un. , i m seeing someone.
vous tes grande. , you re big.
vous tes tr s curieuses. , you re very curious.
je ne suis pas tr s athl tique. , i m not very athletic.
il va me l expliquer. , he is going to explain it to me.
vous vous embrouillez nouveau non? , you re confused again aren t you?
vous n tes pas ma m re. , you aren t my mother.
je suis toujours votre ami. , i m still your friend.
vous tes une sale menteuse! , you re a filthy liar!
je suis votre c t. , i m by your side.
c est la fille de mes r ves. , she s the girl of my dreams.
j ai fini d enseigner. , i am done teaching.
je vais bien. , i m doing well.
tu es idiot. , you re being silly.
elle adore chanter de vieilles chansons. , she is fond of singing old songs.
je me pr pare au pire... , i m getting ready for the worst.
elle a une peur bleue des serpents. , she s very afraid of snakes.
il se cache dans le placard. , he s hiding in the closet.
c est un grand gar on. , he s a big boy.
je suis un moine. , i am a monk.
tu es trop confiante. , you re too trusting.
je maigris. , i m losing weight.
il n a jamais t amoureux auparavant. , he s never been in love before.
t es bourr. , you re smashed.
c est mon vieil ami. , he is my old friend.
j ai raison. , i am right.
elle est toujours en mouvement. , she s always on the go.
je vais tre papa. , i m going to be a father.
je suis tr s heureux de te voir. , i am very glad to see you.
je vais crire une lettre demain. , i am going to write a letter tomorrow.
tu manques de temps. , you re running short of time.
je suis contente que vous soyez l. , i m glad you could be here.
je suis assez fort pour faire a maintenant. , i m strong enough to do that now.
je suis s rieux. , i m serious.
je cherche ma cl. , i m looking for my key.
je suis trop occup pour aider tom. , i m too busy to help tom.
vous tes merveilleuses. , you re wonderful.
elle fait juste semblant. , she s just putting up a front.
je t autorise y aller. , i m allowing you to go.
vous tes tr s bonne. , you re very good.
vous tes chanceuse d avoir un travail. , you re lucky that you have a job.
je ne suis pas l aise ce sujet. , i m not comfortable with this.
je suis galement la pension. , i m retired too.
je commence penser que vous tes s rieux. , i m beginning to think you re serious.
elle crit des nouvelles. , she is a short story writer.
elle nous apprend le fran ais. , she s teaching us french.
c est un ancien. , he s a senior.
tu es tellement impatiente. , you re so impatient.
vous n tes pas comme les autres. , you aren t like the others.
elle est plus vieille que lui. , she s older than him.
vous tes dur. , you re tough.
tu n es pas un l che. , you are not a coward.
je lis un livre sur les animaux. , i am reading a book about animals.
je joue un jeu sur console. , i m playing a tv game.
je me r jouis que tu sois venue. , i m glad you came over.
je ne suis pas comme vous. , i m not like you.
elle est en retard sur son loyer. , she is behind in her rent.
tu es un pi tre menteur. , you re a bad liar.
je ne suis pas aussi riche que toi. , i m not as rich as you are.
je suis tellement perplexe. , i m so confused.
vous n tes pas seules. , you re not alone.
tu es immorale. , you re unethical.
c est une connaissance de ma femme. , he is acquainted with my wife.
tu as parfaitement raison. , you re completely right.
j ai peur des ours. , i am afraid of bears.
il part pour new york la semaine prochaine. , he is leaving for new york next week.
je suis fauch. , i m broke.
ce n est pas une menteuse. , she s not a liar.
je n y vais pas. , i m not going.
je ne suis amoureuse de personne. , i m not in love with anyone.
elle le gifla. , she slapped him.
c est un peintre. , he is a painter.
je ne suis pas pr te mourir. , i m not ready to die.
il est fier d tre m decin. , he is proud of being a doctor.
vous tes tr s directe. , you re very direct.
je vais partir une nuit plus t t. , i m going to leave one night early.
c est un homme sage. , he is a man of wisdom.
je ne le fais plus. , i m not doing this anymore.
vous tes celle qui a plant cet arbre. , you re the one who planted that tree.
je vais me baigner. , i m going to take a bath.
vous tes fantasque. , you re temperamental.
il est am ricain. , he is an american.
je dors peu. , i m a light sleeper.
vous tes tr s sages. , you re very wise.
je suis contre le travail du dimanche. , i am against working on sundays.
je ne vous drague pas. , i m not hitting on you.
elle creuse sa propre tombe. , she s digging her own grave.
il est en train de manger une pomme. , he s eating an apple.
il est frais moulu de l universit. , he s fresh out of college.
vous tes endormis. , you re sleepy.
vous n tes pas habill s. , you re not dressed.
j attends ton aide. , i m waiting for your help.
je suis tellement fi re de toi. , i m so proud of you.
je prends soin de mon grand p re. , i m taking care of my grandfather.
tu es probablement fatigu. , you re probably tired.
j apprends vite. , i m a fast learner.
je suis plut t contente. , i m fairly happy.
il n est pas vraiment minutieux. , he s not a very meticulous guy.
elle porte une robe verte. , she is in a green dress.
il est plus malin que moi. , he is more clever than me.
je suis galement occup e. , i m busy too.
tu es l a n. , you re the oldest.
je suis plus astucieux que vous. , i m smarter than you.
mon ordinateur portable tourne sous linux. , i m running linux on my laptop.
elle se prom ne parfois dans le parc. , she sometimes takes a walk in the park.
il lave sa voiture. , he is washing his car.
tu es l amour de ma vie. , you re the love of my life.
elle a sembl indiff rente. , she seemed uninterested.
tu es vilain. , you are naughty.
elle est une vrai beaut. , she is a real beauty.
il est d pendant la coca ne. , he is addicted to cocaine.
je suis le plus jeune enfant. , i m the youngest child.
je ne suis pas arm. , i m not armed.
il parle couramment le chinois. , he is fluent in chinese.
je ne suis pas seule. , i m not alone.
vous vous approchez. , you re getting closer.
je suis d pourvu d ambition. , i m unambitious.
je suis vous et vous tes moi. , i am yours and you are mine.
je suis d go t et d u. , i m disgusted and disappointed.
il est son c t. , he s at her side.
t es un super bon camarade. , you re a mighty good feller.
tu es trop polie. , you re too polite.
j en ai marre de vos plaintes. , i m getting tired of your complaints.
elle est gentille avec les personnes g es. , she is kind to old people.
vous n tes pas seul. , you re not alone.
je suis normal. , i m normal.
tu es en grave danger. , you re in serious danger.
je ne suis pas pr sentable. , i m not presentable.
elle chanta mieux que lui. , she sang better than him.
tu es trop suspicieuse de tout. , you re too suspicious about everything.
je suis consciente de mes responsabilit s. , i m aware of my responsibilities.
elle est impatiente de le revoir. , she is looking forward to seeing him again.
je suis votre d bitrice. , i am in your debt.
j essaie de comprendre. , i m trying to understand.
j ai du mal dormir. , i m having trouble sleeping.
je suis la seule avoir surv cu. , i m the only one who survived.
vous tes deux fois plus forte que moi. , you are twice as strong as i am.
vous tes des actrices. , you are actresses.
je ne suis pas ma place ici. , i m out of place here.
il est dot d une grande intelligence. , he s highly intelligent.
je pars ce soir. , i m leaving tonight.
tu es responsable de ce r sultat. , you are responsible for the result.
j en suis absolument certaine. , i m absolutely certain of it.
je ne panique pas. , i m not panicking.
j en suis consciente. , i m aware of that.
elle glissa son bras dans le sien. , she slipped her arm into his.
je suis enseignant en japonais. , i m a japanese teacher.
je ne suis pas v g tarien. , i m not a vegetarian.
je ne fais que blaguer. , i am only joking.
je vais me marier. , i m getting married.
c est une personne tr s attentionn e. , he is a very thoughtful person.
je suis surpris de l apprendre. , i am surprised to learn this.
je suis puis. , i am exhausted.
vous tes ambitieux. , you re ambitious.
t es un vrai th sauriseur. , you re such a pack rat.
j en ai fini. , i m done.
elle passa toute l apr s midi cuisiner. , she spent all afternoon cooking.
